epoch,train_loss,val_loss,val_iou,val_f1,epoch_time_s,total_time_s
1,0.475896,0.403113,0.685352,0.811736,196.6,196.6
2,0.390291,0.367936,0.697912,0.820546,216.4,414.1
3,0.356737,0.334098,0.703703,0.825868,222.6,637.8
4,0.321958,0.306666,0.717527,0.835208,222.8,861.9
5,0.293928,0.288811,0.719075,0.835866,223.0,1086.1
6,0.280646,0.286737,0.701037,0.823964,222.4,1309.8
7,0.257978,0.259563,0.725241,0.840069,223.5,1533.2
8,0.249025,0.257749,0.721774,0.838307,223.0,1757.7
9,0.232411,0.239402,0.730339,0.843643,223.2,1980.9
10,0.224638,0.230479,0.735081,0.846898,222.5,2209.0
11,0.215677,0.237391,0.716921,0.834924,222.3,2432.6
12,0.203015,0.231287,0.727118,0.841854,222.8,2655.4
13,0.198208,0.224350,0.724416,0.839029,222.5,2877.9
14,0.186917,0.230621,0.720130,0.837275,223.0,3100.9
15,0.183707,0.218458,0.728702,0.842553,222.5,3323.4
16,0.182004,0.220954,0.723960,0.839037,223.0,3546.5
17,0.178336,0.214105,0.734439,0.846355,222.9,3769.4
18,0.175354,0.212055,0.738774,0.849314,222.3,3991.7
19,0.174390,0.212696,0.734973,0.847031,222.1,4218.2
20,0.171399,0.214364,0.734939,0.846658,222.8,4441.0
21,0.167615,0.217867,0.730209,0.843814,223.1,4664.1
22,0.163285,0.216221,0.729458,0.843023,222.6,4886.6
23,0.163904,0.215216,0.731128,0.843916,222.7,5109.4
24,0.164055,0.211165,0.736651,0.847791,221.9,5331.3
25,0.163331,0.216043,0.726200,0.840254,222.4,5553.7
26,0.163731,0.212616,0.732925,0.845070,223.6,5777.3
27,0.161505,0.211929,0.735093,0.846698,222.5,5999.7
28,0.158809,0.210223,0.734746,0.846396,222.7,6222.4
