epoch,train_loss,val_loss,val_iou,val_f1,epoch_time_s,total_time_s
1,0.504577,0.467319,0.466728,0.636420,85.2,85.2
2,0.467203,0.522107,0.416758,0.588194,88.2,174.3
3,0.434531,1.838044,0.277713,0.434643,92.2,266.4
4,0.397111,0.549785,0.419827,0.590918,96.1,362.5
5,0.373171,0.611106,0.441275,0.612157,96.9,459.5
6,0.344725,0.690207,0.406169,0.577506,96.9,556.4
7,0.305133,0.321773,0.577566,0.732181,96.9,653.3
8,0.294509,0.341055,0.605233,0.753950,97.4,755.8
9,0.278802,0.286827,0.639967,0.779833,96.8,853.6
10,0.273412,0.441292,0.508553,0.672285,97.0,954.6
11,0.263802,0.282813,0.645786,0.784673,96.7,1051.3
12,0.249003,0.408984,0.547183,0.707320,96.8,1149.1
13,0.235124,0.252597,0.675024,0.805369,96.9,1246.0
14,0.227278,0.300775,0.639239,0.779890,97.2,1344.8
15,0.226128,0.311009,0.619058,0.764710,97.4,1442.2
16,0.225989,0.280979,0.660762,0.795615,97.7,1540.0
17,0.215745,0.325257,0.610445,0.758107,97.4,1637.4
18,0.198304,0.224034,0.706754,0.827512,97.3,1734.6
19,0.189324,0.264584,0.687455,0.814277,97.2,1832.6
20,0.185576,0.240060,0.698119,0.821816,96.9,1929.5
21,0.180084,0.276742,0.674354,0.805480,97.2,2026.8
22,0.175496,0.249153,0.686176,0.813773,96.9,2123.6
23,0.167637,0.254355,0.687036,0.814384,97.2,2220.9
24,0.165143,0.232508,0.702706,0.825221,97.5,2318.3
25,0.161227,0.214745,0.721646,0.838073,97.5,2415.8
26,0.160275,0.239406,0.703248,0.825710,97.6,2517.4
27,0.159843,0.212268,0.733023,0.845203,97.1,2614.5
28,0.154020,0.277692,0.649340,0.787242,97.5,2713.2
29,0.152082,0.197392,0.752894,0.858469,96.8,2810.0
30,0.150415,0.197510,0.751331,0.857275,97.1,2908.8
31,0.150263,0.220770,0.717972,0.835815,97.5,3006.3
32,0.152014,0.212050,0.735622,0.846478,97.8,3104.1
33,0.148455,0.228491,0.713492,0.832445,97.6,3201.7
34,0.142082,0.222395,0.728171,0.841566,97.8,3299.4
35,0.141094,0.228609,0.716122,0.833892,96.9,3396.4
36,0.142025,0.198091,0.754428,0.858810,97.2,3493.6
37,0.144999,0.206534,0.745224,0.853125,97.6,3592.1
38,0.147067,0.217683,0.729628,0.842781,97.3,3689.5
39,0.145716,0.228642,0.718649,0.835159,97.6,3787.1
40,0.135625,0.232230,0.713373,0.832636,97.8,3884.9
41,0.130517,0.224017,0.719460,0.836528,97.1,3982.0
42,0.131886,0.230184,0.714947,0.833149,97.4,4079.5
43,0.134676,0.232879,0.711145,0.830620,97.2,4176.7
44,0.132713,0.232749,0.715155,0.833421,97.4,4274.1
45,0.130649,0.221797,0.724689,0.839857,97.8,4371.9
46,0.135122,0.216494,0.731260,0.844079,97.6,4469.5
