epoch,train_loss,val_loss,val_iou,val_f1,epoch_time_s,total_time_s
1,0.443855,0.358620,0.654166,0.789083,250.9,250.9
2,0.370551,0.319223,0.665757,0.797478,272.4,530.0
3,0.345621,0.300324,0.671475,0.801941,272.4,803.4
4,0.322660,0.282599,0.680984,0.808999,274.3,1078.8
5,0.307590,0.274147,0.678654,0.807451,273.3,1353.1
6,0.303325,0.266326,0.677411,0.806696,274.0,1627.1
7,0.287121,0.260632,0.676384,0.806052,272.8,1899.9
8,0.285696,0.258275,0.679721,0.808501,272.4,2172.3
9,0.277215,0.251603,0.682349,0.810050,273.9,2446.2
10,0.279710,0.253694,0.680937,0.809288,273.3,2720.5
11,0.276472,0.250712,0.679404,0.807909,273.4,2993.9
12,0.269487,0.250691,0.683123,0.811091,273.4,3267.3
13,0.270786,0.247027,0.682293,0.810117,272.7,3547.4
14,0.263223,0.248514,0.680636,0.809249,273.8,3821.2
15,0.268167,0.248064,0.681243,0.809757,274.0,4095.2
16,0.266386,0.244969,0.683993,0.811267,273.6,4368.8
17,0.264695,0.242453,0.687226,0.813676,272.6,4642.5
18,0.261098,0.243143,0.687674,0.814246,272.0,4916.2
19,0.260984,0.248090,0.681850,0.810175,273.1,5191.3
20,0.259222,0.245559,0.683918,0.811576,274.5,5465.8
21,0.257146,0.246838,0.683394,0.811313,272.0,5737.8
22,0.252784,0.245161,0.682543,0.810675,273.9,6011.7
23,0.253530,0.243775,0.683141,0.811024,273.5,6285.2
24,0.257653,0.244058,0.684630,0.812151,274.4,6559.6
25,0.250823,0.243659,0.683743,0.811498,272.6,6832.2
26,0.258781,0.243255,0.683210,0.810989,274.0,7106.2
27,0.251050,0.244551,0.685105,0.812440,273.8,7380.1
28,0.251989,0.242524,0.685052,0.812405,272.2,7652.2
