epoch,train_loss,val_loss,val_iou,val_f1,epoch_time_s,total_time_s
1,0.381610,0.303817,0.615838,0.762050,50.3,50.3
2,0.309301,0.281074,0.628854,0.771745,47.2,97.8
3,0.287003,0.273894,0.654531,0.791189,48.4,146.6
4,0.261118,0.282680,0.645555,0.784588,47.2,194.3
5,0.243241,0.278104,0.648466,0.786022,47.3,241.6
6,0.242204,0.276795,0.640934,0.781041,47.1,288.7
7,0.222824,0.285024,0.640815,0.781091,47.5,336.2
8,0.214386,0.280020,0.639216,0.779272,47.5,383.8
9,0.204641,0.260703,0.670515,0.802694,47.0,430.8
10,0.205751,0.270411,0.657361,0.792791,47.1,478.2
11,0.201164,0.270278,0.658650,0.794040,47.2,525.4
12,0.195945,0.270806,0.656616,0.792615,47.7,573.1
13,0.194478,0.267565,0.664412,0.798133,47.2,620.3
14,0.180957,0.269624,0.662293,0.796675,47.1,667.4
15,0.185313,0.269303,0.660722,0.795443,47.5,714.9
16,0.183590,0.258480,0.676123,0.806591,47.0,761.9
17,0.179136,0.275032,0.658255,0.793782,48.0,810.3
18,0.177493,0.268042,0.670869,0.802997,47.1,857.4
19,0.177789,0.274300,0.661050,0.795903,46.9,904.3
20,0.174919,0.294352,0.641155,0.781208,47.1,951.4
21,0.279119,0.382299,0.568602,0.724780,101.2,1052.6
22,0.197986,0.220606,0.705839,0.827555,101.2,1153.8
23,0.182900,0.347149,0.615989,0.761316,101.8,1256.6
24,0.179633,0.216554,0.729064,0.843025,101.1,1357.7
25,0.159994,0.234167,0.692392,0.817912,101.1,1459.5
26,0.135976,0.179156,0.766910,0.867525,101.1,1560.6
27,0.128454,0.227706,0.714959,0.833714,101.2,1666.4
28,0.120018,0.230060,0.698603,0.821741,101.1,1767.5
29,0.128840,0.204808,0.735251,0.846705,101.0,1868.5
30,0.113932,0.200562,0.737618,0.847918,101.7,1970.3
31,0.102048,0.183040,0.765339,0.866377,101.0,2071.3
32,0.094220,0.185947,0.754530,0.859651,101.1,2172.4
33,0.089763,0.178403,0.768544,0.868311,101.3,2273.6
34,0.084101,0.200690,0.755512,0.859605,101.9,2376.5
35,0.083391,0.190634,0.765519,0.866117,101.3,2477.8
36,0.081814,0.172014,0.782207,0.876757,101.2,2578.9
37,0.082994,0.172343,0.781518,0.876823,101.1,2681.0
38,0.081281,0.181862,0.775403,0.872618,101.1,2782.1
39,0.078270,0.184327,0.783011,0.877860,101.8,2883.9
40,0.073939,0.207926,0.754255,0.859419,101.5,2989.5
41,0.069345,0.218925,0.747534,0.854577,101.3,3090.7
42,0.068325,0.205362,0.754790,0.859586,101.7,3192.4
43,0.069715,0.241509,0.731666,0.844069,101.2,3293.6
44,0.065629,0.221045,0.748331,0.855397,101.1,3394.7
45,0.061091,0.219810,0.749146,0.855777,101.1,3495.9
46,0.061382,0.245136,0.741385,0.850745,101.5,3597.3
47,0.058306,0.218863,0.757899,0.861744,101.7,3699.0
48,0.058041,0.221387,0.756328,0.860841,101.2,3800.3
49,0.055772,0.220695,0.754883,0.859985,101.2,3901.5
